,start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_clean,date,minutes_after_sunset,minutes_after_rat_arrival
90,2018-02-09 00:29:00,1.0,rat,2018-02-09 00:26:00,2018-02-09 00:32:00,154,1,0,2,2018-02-08 17:20:00,7.156944444,0,rat,2018-02-09,429.0,2.566666666666667
91,2018-02-09 03:31:00,1.0,rat,2018-02-09 03:28:00,2018-02-09 03:33:00,146,1,0,2,2018-02-08 17:20:00,10.18444444,0,rat,2018-02-09,611.0,2.433333333333333
92,2018-02-09 03:32:00,21.0,rat,2018-02-09 03:28:00,2018-02-09 03:33:00,211,1,0,2,2018-02-08 17:20:00,10.2025,0,rat,2018-02-09,612.0,3.5166666666666666
93,2018-02-09 03:32:00,9.0,pick,2018-02-09 03:28:00,2018-02-09 03:33:00,246,0,1,2,2018-02-08 17:20:00,10.21222222,0,pick,2018-02-09,612.0,4.1
94,2018-02-13 03:44:00,1.0,rat,2018-02-13 03:43:00,2018-02-13 03:45:00,77,1,0,2,2018-02-12 17:24:00,10.34222222,0,rat,2018-02-13,620.0,1.2833333333333334
95,2018-02-13 03:50:00,3.0,fast,2018-02-13 03:49:00,2018-02-13 03:50:00,59,0,1,2,2018-02-12 17:24:00,10.435,0,fast,2018-02-13,626.0,0.9833333333333333
96,2018-02-14 22:05:00,1.0,rat,2018-02-14 22:04:00,2018-02-14 22:12:00,89,1,0,2,2018-02-14 17:26:00,4.659166667,0,rat,2018-02-14,279.0,1.4833333333333334
97,2018-02-14 22:08:00,2.0,rat,2018-02-14 22:04:00,2018-02-14 22:12:00,259,1,0,2,2018-02-14 17:26:00,4.706388889,0,rat,2018-02-14,282.0,4.316666666666666
98,2018-02-14 22:11:00,4.0,rat,2018-02-14 22:04:00,2018-02-14 22:12:00,470,1,0,2,2018-02-14 17:26:00,4.765,0,rat,2018-02-14,285.0,7.833333333333333
99,2018-02-14 22:46:00,2.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,187,1,0,2,2018-02-14 17:26:00,5.341666667,0,rat,2018-02-14,320.0,3.1166666666666667
100,2018-02-14 22:46:00,1.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,204,1,0,2,2018-02-14 17:26:00,5.346388889,0,rat,2018-02-14,320.0,3.4
101,2018-02-14 22:50:00,2.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,420,1,0,2,2018-02-14 17:26:00,5.406388889,0,rat,2018-02-14,324.0,7.0
102,2018-02-14 22:50:00,9.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,434,1,0,2,2018-02-14 17:26:00,5.410277778,0,rat,2018-02-14,324.0,7.233333333333333
103,2018-02-14 22:51:00,0.061201372,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,512,1,0,2,2018-02-14 17:26:00,5.431944444,0,rat,2018-02-14,325.0,8.533333333333333
104,2018-02-14 22:52:00,1.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,518,1,0,2,2018-02-14 17:26:00,5.433611111,0,rat,2018-02-14,326.0,8.633333333333333
105,2018-02-14 03:11:00,31.0,pick,2018-02-14 03:02:00,2018-02-14 03:11:00,499,0,1,2,2018-02-13 17:25:00,9.771666667,0,pick,2018-02-14,586.0,8.316666666666666
106,2018-02-14 05:30:00,1.0,rat,2018-02-14 05:26:00,2018-02-14 05:34:00,225,1,0,2,2018-02-13 17:25:00,12.09194444,0,rat,2018-02-14,725.0,3.75
107,2018-02-15 18:21:00,0.050105814,fast,2018-02-15 18:20:00,2018-02-15 18:28:00,54,0,1,2,2018-02-15 17:26:00,0.9225,0,fast,2018-02-15,55.0,0.9
108,2018-02-15 19:31:00,1.0,fast,2018-02-15 19:30:00,2018-02-15 19:31:00,30,0,1,2,2018-02-15 17:26:00,2.085833333,0,fast,2018-02-15,125.0,0.5
109,2018-02-15 19:31:00,0.085595674,attack_rat,2018-02-15 19:30:00,2018-02-15 19:31:00,71,1,0,2,2018-02-15 17:26:00,2.097222222,0,Other,2018-02-15,125.0,1.1833333333333333
110,2018-02-15 18:52:00,6.0,bat,2018-02-15 18:49:00,2018-02-15 18:55:00,179,1,0,2,2018-02-15 17:26:00,1.440277778,0,bat,2018-02-15,86.0,2.9833333333333334
111,2018-02-15 18:52:00,6.0,pick,2018-02-15 18:49:00,2018-02-15 18:55:00,201,0,1,2,2018-02-15 17:26:00,1.446388889,0,pick,2018-02-15,86.0,3.35
112,2018-02-15 18:54:00,1.0,rat,2018-02-15 18:49:00,2018-02-15 18:55:00,321,1,0,2,2018-02-15 17:26:00,1.479722222,0,rat,2018-02-15,88.0,5.35
113,2018-02-04 18:33:00,3.0,bat_and_rat,2018-02-04 18:32:00,2018-02-04 18:50:00,77,1,0,2,2018-02-04 17:17:00,1.274722222,0,bat_and_rat,2018-02-04,76.0,1.2833333333333334
114,2018-02-04 18:32:00,148.50000000000136,,2018-02-04 18:32:00,2018-02-04 18:50:00,42,0,0,2,2018-02-04 17:17:00,1.265,0,Unknown,2018-02-04,75.0,0.7
115,2018-02-04 18:46:00,1.0,,2018-02-04 18:32:00,2018-02-04 18:50:00,856,0,0,2,2018-02-04 17:17:00,1.491111111,0,Unknown,2018-02-04,89.0,14.266666666666667
116,2018-02-04 18:47:00,1.0,,2018-02-04 18:32:00,2018-02-04 18:50:00,933,0,0,2,2018-02-04 17:17:00,1.5125,0,Unknown,2018-02-04,90.0,15.55
117,2018-02-03 17:51:00,29.0,rat,2018-02-03 17:51:00,2018-02-03 17:51:00,22,1,0,2,2018-02-03 17:16:00,0.592777778,0,rat,2018-02-03,35.0,0.36666666666666664
118,2018-02-02 18:30:00,4.0,rat,2018-02-02 18:30:00,2018-02-02 18:30:00,3,1,0,2,2018-02-02 17:15:00,1.260555556,0,rat,2018-02-02,75.0,0.05
119,2018-02-05 23:22:00,1.0,,2018-02-05 23:21:00,2018-02-05 23:26:00,77,0,0,2,2018-02-05 17:18:00,6.072222222,0,Unknown,2018-02-05,364.0,1.2833333333333334
120,2018-02-05 23:22:00,1.0,,2018-02-05 23:21:00,2018-02-05 23:26:00,110,0,0,2,2018-02-05 17:18:00,6.081388889,0,Unknown,2018-02-05,364.0,1.8333333333333333
121,2018-02-05 23:25:00,6.0,,2018-02-05 23:21:00,2018-02-05 23:26:00,253,0,0,2,2018-02-05 17:18:00,6.121111111,0,Unknown,2018-02-05,367.0,4.216666666666667
122,2018-02-16 22:18:00,2.0,rat,2018-02-16 22:18:00,2018-02-16 22:22:00,25,1,0,2,2018-02-16 17:27:00,4.860277778,0,rat,2018-02-16,291.0,0.4166666666666667
123,2018-02-16 22:21:00,16.0,rat,2018-02-16 22:18:00,2018-02-16 22:22:00,181,1,0,2,2018-02-16 17:27:00,4.903611111,0,rat,2018-02-16,294.0,3.0166666666666666
124,2018-02-16 22:21:00,2.0,rat,2018-02-16 22:18:00,2018-02-16 22:22:00,201,1,0,2,2018-02-16 17:27:00,4.909166667,0,rat,2018-02-16,294.0,3.35
125,2018-02-16 22:21:00,1.0,fast,2018-02-16 22:18:00,2018-02-16 22:22:00,206,0,1,2,2018-02-16 17:27:00,4.910555556,0,fast,2018-02-16,294.0,3.433333333333333
126,2018-02-16 22:22:00,0.07570842,rat_attack,2018-02-16 22:18:00,2018-02-16 22:22:00,250,1,0,2,2018-02-16 17:27:00,4.922777778,0,Other,2018-02-16,295.0,4.166666666666667
127,2018-02-19 00:33:00,0.057540536,fast,2018-02-19 00:31:00,2018-02-19 00:34:00,157,0,1,2,2018-02-18 17:29:00,7.078055556,0,fast,2018-02-19,424.0,2.6166666666666667
128,2018-02-19 01:33:00,3.0,rat,2018-02-19 01:33:00,2018-02-19 01:33:00,6,1,0,2,2018-02-18 17:29:00,8.078333333,0,rat,2018-02-19,484.0,0.1
129,2018-02-10 21:08:00,5.0,rat,2018-02-10 21:04:00,2018-02-10 21:11:00,222,1,0,2,2018-02-10 17:22:00,3.771111111,0,rat,2018-02-10,226.0,3.7
130,2018-02-10 21:36:00,1.0,rat,2018-02-10 21:35:00,2018-02-10 21:36:00,68,1,0,2,2018-02-10 17:22:00,4.236666667,0,rat,2018-02-10,254.0,1.1333333333333333
131,2018-02-10 21:36:00,2.0,rat,2018-02-10 21:35:00,2018-02-10 21:36:00,75,1,0,2,2018-02-10 17:22:00,4.238611111,0,rat,2018-02-10,254.0,1.25
132,2018-02-10 21:44:00,1.0,rat,2018-02-10 21:44:00,2018-02-10 21:51:00,6,1,0,2,2018-02-10 17:22:00,4.368333333,0,rat,2018-02-10,262.0,0.1
133,2018-02-10 21:45:00,6.0,,2018-02-10 21:44:00,2018-02-10 21:51:00,86,0,0,2,2018-02-10 17:22:00,4.390555556,0,Unknown,2018-02-10,263.0,1.4333333333333333
134,2018-02-10 21:45:00,4.0,rat,2018-02-10 21:44:00,2018-02-10 21:51:00,92,1,0,2,2018-02-10 17:22:00,4.392222222,0,rat,2018-02-10,263.0,1.5333333333333334
135,2018-02-10 21:46:00,13.0,rat,2018-02-10 21:44:00,2018-02-10 21:51:00,137,1,0,2,2018-02-10 17:22:00,4.404722222,0,rat,2018-02-10,264.0,2.283333333333333
